Title,Date,Status,Abstract,Specifications,IPR,Link,Technical Areas
BACnet International,10/01/2021(Last Updated: 10/01/2021),Active,"BACnet International promotes interoperability and compliance with the BACnet Standard by developing conformance testing software and organizing multi-vendor interoperability testing activities. BACnet is a standard data communication protocol developed by the American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE). The BACnet standard is publicly available so that manufacturers can create interoperable systems of products.",,,https://www.bacnetinternational.org/,['Construction and Facilities Management']
BITS,8/05/2015(Last Updated: 08/05/2015),Active,"BITS (formerly Banking Industry Technology Secretariat) is the technology policy division of The Financial Services Roundtable, created to promote the growth and development of electronic financial services and e-commerce for financial institutions and their customers. BITS focuses on issues such as critical infrastructure protection, fraud prevention, and the safety of financial services.",,,http://www.bits.org/,"['Business Models and Collaboration', 'e-Commerce', 'Financial Services', 'Industry Categories', 'Other Categories', 'Security & Cybersecurity', 'Technical Categories']"
Broadband Content Delivery Forum (BCDF),8/05/2015(Last Updated: 08/05/2015),Inactive,"The Broadband Content Delivery Forum (BCDF) addressed the business of broadband content delivery. The BCDF Forum comprised content providers, network service providers, hardware and software developers, and content delivery service providers. *Merged with the Service Creation Community (SCC) to form the Broadband Services Forum",,,http://web.archive.org/web/20051212142456/http://www.bcdforum.org/home/,"['Hardware', 'Network', 'Other Categories', 'Promotional & Trade Associations', 'Software', 'Technical Categories', 'Wireless and Mobile']"
Business Process Management for Healthcare (BPM+ Health),10/01/2021(Last Updated: 10/01/2021),Active,"BPM+ Health develops and promotes standards-based healthcare automation techniques, specifically the application of Business Process Management (BPM) standards to clinical care pathways and workflows.",,Exhibit 1https://www.bpm-plus.org/pdf/bpmhealth-bylaws.pdf ,https://www.bpm-plus.org/index.htm,"['Health and Medical', 'Internet of Things']"
CAN in Automation (CiA),4/06/2016(Last Updated: 04/06/2016),Active,"Provides a platform for future developments of the CAN protocol and promotes the image of CAN. CiA members develop and publish CiA specifications, which cover physical layer definitions as well as application layer and device profile descriptions.",http://www.can-cia.org/standardization/specifications/ ,http://www.can-cia.org/about-us/the-cia-story/intellectual-property-policy/ ,http://www.can-cia.org/,"['Europe', 'Industry Categories', 'Information and Communication Technology', 'Languages/Protocols', 'Multi-Industry', 'Technical Categories']"
CCIX Consortium,5/13/2019(Last Updated: 05/13/2019),Active,"CCIX promotes the development of different instruction set architectures to extend the benefits of cache coherent, peer processing to a number of acceleration devices. It promotes acceleration applications such as machine learning, network processing, storage off-load, in-memory data base and 4G/5G wireless technology. CCIX utilizes established data center hardware and software infrastructure to allow system designers to integrate a combination of heterogeneous components to address their specific system needs.",https://www.ccixconsortium.com/library/specification/ ,https://docs.wixstatic.com/ugd/0c1418_9f871b13b6e040d0b4747f5e3a26efb5.pdf ,https://www.ccixconsortium.com/,"['Hardware', 'Interoperability', 'Network', 'Software', 'Technical Categories', 'Wireless and Mobile']"
Climate Savers Computing Initiative,12/16/2015(Last Updated: 12/16/2015),Inactive,The Climate Savers Computing Initiative promoted smart technologies to improve power efficiency and reduce energy consumption of computers. *Merged with The Green Grid in 2012,,,https://www.thegreengrid.org/,"['Clean Tech & Renewable Energy', 'Industry Categories', 'Power and SmartGrid', 'Sustainability, Efficiency and Green Initiatives']"
Cloud Security Alliance (CSA),1/06/2016(Last Updated: 01/06/2016),Active,"The Cloud Security Alliance promotes the use of best practices for providing security assurance within Cloud Computing, and provides education on the uses of Cloud Computing to help secure all other forms of computing.",,,http://www.cloudsecurityalliance.org/,"['Cloud Computing and Data', 'Other Categories', 'Promotional & Trade Associations', 'Security & Cybersecurity', 'Technical Categories']"
Collaborative Electronic Notebook Systems Association (CENSA),1/06/2016(Last Updated: 01/06/2016),Inactive,"The Collaborative Electronic Notebook Systems Association (CENSA) promoted electronic recordkeeping systems and collaborative technologies. CENSA market development programs focused on electronic records, electronic notebook applications, knowledge management, intellectual capital utilization, and scientific systems integration. *Inactive",,,,"['Electronics', 'Industry Categories', 'Interoperability', 'Multi-Industry', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
Common Education Data Standards (CEDS),11/30/2016(Last Updated: 11/30/2016),Active,"CEDS is an education data management initiative developing methods of streamlining data within and across P-20W institutions and sectors. The CEDS initiative includes a common vocabulary, data models for that vocabulary, tools to help users understand and use the data, metadata from other education initiatives, and a discussion community.",https://ceds.ed.gov/datamodel.aspx ,,https://ceds.ed.gov/,"['Americas', 'De Jure Standards Development Organizations', 'Digital and Distance Learning', 'Educational Associations', 'Languages/Protocols', 'National', 'Select by Geography', 'Technical Categories']"
Conexxus,8/26/2019(Last Updated: 08/26/2019),Active,"Conexxus develops technology standards to improve business processes, reduce costs and increase productivity for the convenience and fuel retailing industry.",https://www.conexxus.org/content/conexxus-standards ,https://www.conexxus.org/content/intellectual-property-policy ,https://www.conexxus.org/,"['Industry Categories', 'Interoperability', 'Multi-Industry', 'Technical Categories']"
Consortium for the Barcode of Life (CBOL),1/06/2016(Last Updated: 01/06/2016),Active,"The Consortium for the Barcode of Life (CBOL) develops and promotes the potential of DNA barcoding as a practical tool for species identification in taxonomic research, biodiversity studies and conservation, and diverse applications that use taxonomic information in service to science and society. CBOL also partners with the taxonomic user community, including governmental and intergovernmental agencies; conservation organizations and other NGOs; private sector companies; and other organizations that use taxonomic information in pursuit of their applied missions.  ",http://www.barcodeoflife.org/content/resources/standards-and-guidelines ,,http://www.barcodeoflife.org/,"['BioIT and Life Sciences', 'Hardware', 'Industry Categories', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
Content Alliance,1/06/2016(Last Updated: 01/06/2016),Inactive,The Content Alliance promoted interoperability of Content Delivery Networks (CDNs).  *Inactive,,,,"['Interoperability', 'Network', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
Council on Large Electric Systems (CIGRE),1/06/2016(Last Updated: 01/06/2016),Active,"The International Council on Large Electric Systems (CIGRE) facilitates the technical exchanges among the actors of production and transmission of electrical energy; communicates the state of the art and the technical knowledge in these fields; informs the decision makers and regulators in the field of high voltage electricity by means of publication in its magazine Electra or through the organization of biennial conferences, named Sessions, that take place in even years in Paris, France.",http://www.cigre.org/publications/technical-brochures ,,http://www.cigre.org/,"['Electronics', 'Europe', 'Industry Categories', 'Power and SmartGrid', 'Select by Geography']"
DAISY Consortium,1/06/2016(Last Updated: 01/06/2016),Active,The DAISY Consortium develops and promotes international standards and technologies which enable equal access to information and knowledge by all people with print disabilities.,http://www.daisy.org/specifications ,http://www.daisy.org/intellectual-property-policy-licensing-and-working-group-process.html ,http://www.daisy.org/,"['Consumer Electronics and Content', 'Digital and Distance Learning', 'Industry Categories', 'Software', 'Technical Categories']"
Data Transparency Coalition (DTC),1/06/2016(Last Updated: 01/06/2016),Active,"The Data Transparency Coalition promotes the publication of federal data online in consistent, machine-readable formats. The DTC is run by a board of advisors.",,,http://datacoalition.org/,"['Advocacy/Lobbying', 'Other Categories', 'Promotional & Trade Associations']"
Device Renewal Forum (DFR),9/09/2015(Last Updated: 09/09/2015),Inactive,The Device Renewal Forum (DFR) was created to expand the growth of the renewed wireless devices market by establishing a common certification for refurbished wireless phones. The group worked across wireless interface technologies. *Inactive,,,http://devicerenewalforum.org/,"['Consumer Electronics and Content', 'Industry Categories', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories', 'Wireless and Mobile']"
Digital Display Working Group (DDWG),9/09/2015(Last Updated: 09/09/2015),Inactive,Promoted an open industry group with the goal of addressing the IT industry's requirements for a digital connectivity specification for high-performance PCs and digital displays. *Inactive since 2001,,,,"['Audio/Video/Multimedia', 'Hardware', 'Languages/Protocols', 'Technical Categories']"
Digital Media Project (DMP),11/04/2015(Last Updated: 11/04/2015),Active,"DMP promotes the development, deployment and use of Digital Media that respect the rights of creators and rights holders to exploit their works, the wish of end users to fully enjoy the benefits of Digital Media, and the interests of various value-chain players to provide products and services.",http://octv.dmpf.org/spec.php ,,http://www.dmpf.org/,"['Audio/Video/Multimedia', 'Consumer Electronics and Content', 'Electronic Media', 'Industry Categories', 'Technical Categories']"
DirectTrust,10/16/2020(Last Updated: 10/16/2020),Active,"DirectTrust maintains a secure communication network based on a trust framework and develops and promotes rules and practices for maintaining security and promoting confidence in an exchange community. This community includes health information service providers (HISPs), certificate authorities, registration authorities, doctors, patients, and vendors.",https://standards.directtrust.org/access/ ,,https://www.directtrust.org/,"['Health and Medical', 'Industry Categories', 'Interoperability', 'Technical Categories']"
Dublin Core Metadata Initiative (DCMI),1/01/2019,Active,"The Dublin Core Metadata Initiative is an open forum engaged in developing and promoting adoption of metadata standards for resource discovery across domains, including specialized metadata vocabularies and frameworks for the interoperation of metadata sets. DCMI's activities include consensus-driven working groups, global workshops, conferences, standards liaison, and research and educational efforts to promote widespread acceptance of metadata standards and practices.",http://dublincore.org/specifications/ ,,http://dublincore.org/,"['Digital and Distance Learning', 'Internet', 'Interoperability', 'Technical Categories']"
Ed-Fi Alliance,1/01/2019,Active,"The Ed-Fi Alliance is a non-profit subsidiary that offers educators and administrators real-time, actionable education data on every student in their classroom, school, district, or state. Ed-Fi works to provide states and districts with the Ed-Fi solution, a standards-based data tool suite that integrates and organizes raw education data and information from a broad range of sources into Web-based dashboards, reports, and other applications. Available for free under license to districts, state education agencies, and vendors, the suite includes a unifying data model, a data exchange and application framework, and sample dashboard source code. Developed by Double Line Partners with funding from MSDF, the solution also makes it possible for school and district administrators, as well as state and federal agencies, to supplement or replace tools used for state or federal accountability reporting purposes.",https://discussions.zoho.com/ed-fi#home ,http://www.ed-fi.org/license-template-2013-07-22/ ,http://www.ed-fi.org,"['Digital and Distance Learning', 'Educational Associations', 'Internet', 'Interoperability', 'Languages/Protocols']"
Electrification Leadership Council,1/01/2019,Active,"The Electrification Leadership Council is a coalition of key stakeholders throughout the electric vehicle (EV) supply chain, committed to engaging federal, state, regional and local agencies and coalitions, utility companies, vehicle manufacturers, and financial institutions to help overcome the barriers to broad scale EV deployment. Its mission is to drive the EV industry forward through the deployment of EVs in a well-defined, well-prepared local market program that can be replicated on a national scale, with the goal of putting commercial electronic vehicles (EV) to work in a local market where an EV Ecosystem is created to ensure that the vehicles, infrastructure, and the full network of support services and technologies arrive together for a comprehensive EV deployment solution.",,,http://www.elcouncil.com/index.html,"['Automotive', 'Business Models and Collaboration', 'Clean Tech & Renewable Energy', 'Industry Categories', 'Other Categories', 'Promotional & Trade Associations']"
Emdebian Project,6/17/2015(Last Updated: 06/17/2015),Active,"The Emdebian Project developed and maintains a minimized version of the Debian GNU/Linux distribution, and also is working to create a complete Debian-based environment in which to build, customize, and complete distributions of Emdebian and other related open source software for various types of devices. A further goal of the Project is to make Debian cross-buildable.",A development source is available.http://www.emdebian.org/develinfo.html ,,,"['Architecture and Infrastructure', 'Interoperability', 'Open Source Initiatives', 'Significant Open Source Foundations', 'Software', 'Technical Categories']"
Enterprise Computer Telephony Forum (ECTF),6/17/2015(Last Updated: 06/17/2015),Inactive,The Enterprise Computer Telephony Forum (ECTF) promoted open access for communications products and services. *Inactive,,,,"['Business Models and Collaboration', 'Industry Categories', 'Information and Communication Technology', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Software', 'Technical Categories', 'Telecom']"
Ethernet Alliance,6/17/2015(Last Updated: 06/17/2015),Active,"The Ethernet Alliance promotes and assists the growth, development, launch and sustained support of various Ethernet technologies. The Ethernet Alliance objectives include: sponsoring activities that demonstrate the technical viability and usability of Ethernet technologies to consumers; providing a cohesive voice to explain Ethernet projects; developing broad company participation amongst member companies; coordinating efforts amongst Ethernet technologies; positioning Ethernet's co-existence with complimentary technologies; positioning Ethernet into evolving markets; and demonstrating Ethernet's viability in new markets and applications.",,,http://www.ethernetalliance.org/,"['Information and Communication Technology', 'Internet', 'Interoperability', 'Network', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
European Committee for Standardization – Information Society Standardization System (CEN/ISSS),1/01/2019,Active,"CEN, the European Committee for Standardization, is an international non-profit organization set up under Belgian law. It provides a platform for the development of European Standards (ENs) and other consensus documents. The European Commission and the EFTA (European Free Trade Association) Secretariat act as CEN's Counsellors in terms of regulatory or public interest.",http://www.cen.eu/boss/production/dev/pages/default.aspx ,http://www.cen.eu/boss/supporting/guidance%20documents/copyright/pages/default.aspx ,http://www.cen.eu/cenorm/sectors/sectors/isss/index.asp,"['e-Commerce', 'Europe', 'Industry Categories', 'Select by Geography']"
European Telecommunications Informatics Services (ETIS),6/17/2015(Last Updated: 06/17/2015),Active,"Formed in 1991, the European Telecommunications Informatics Services (ETIS) promotes and advances the use of information technology among telecommunications service providers, suppliers, and users. The Consortium's activities fall under three branches: Best Practice in IT; Education, Information Exchange, and Awareness; and Standards and Architecture.",,,http://www.etis.org/,"['Architecture and Infrastructure', 'Europe', 'Industry Categories', 'Information and Communication Technology', 'Select by Geography', 'Technical Categories', 'Telecom']"
Fairhair Alliance,2/24/2016(Last Updated: 02/24/2016),Inactive,"Fairhair is an Alliance of companies, from the Lighting, Building Automation and IT industry, developing a common network infrastructure to serve as a basis for interoperable Lighting and Building Automation systems; and promoting the 'Internet of Things' for buildings. *Now managed by Open Connectivity Foundation (OCF)",,,http://www.fairhair-alliance.org/,"['Construction and Facilities Management', 'Industry Categories', 'Internet of Things', 'Real Estate', 'Technical Categories']"
Financial Information eXchange  Protocol (FIX),6/17/2015(Last Updated: 06/17/2015),Active,"FIX Protocol Ltd is a non-profit organization that develops and maintains the Financial Information eXchange Protocol (FIX), a messaging standard enabling the electronic communication of pre-trade, trade and post-trade messages between financial institutions.",http://fixprotocol.org/specifications/ ,http://www.fixprotocol.org/fastagreement ,http://www.fixprotocol.org/,"['Americas', 'Asia', 'Business Models and Collaboration', 'e-Commerce', 'Financial Services', 'Industry Categories', 'Languages/Protocols', 'Other Categories', 'Technical Categories']"
Future of Broadcast Television (FOBTV),6/17/2015(Last Updated: 06/17/2015),Active,"The Future of Broadcast Television Initiative (FOBTV) is an unincorporated, not-for-profit association aimed at developing technologies for next-generation terrestrial broadcasting systems and making recommendations to standardization organizations around the world.",,See Section 3.http://www.nercdtv.org/fobtv2012/download/fobtv%20mou.pdf ,http://www.nercdtv.org/fobtv2012/index.html,"['Audio/Video/Multimedia', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories', 'Wireless and Mobile']"
Global Alliance for Genomics and Health,6/24/2015(Last Updated: 06/24/2015),Active,"The Global Alliance for Genomics and Health is an international coalition, formed to enable the sharing of genomic and clinical data.",,,http://genomicsandhealth.org/,"['Architecture and Infrastructure', 'BioIT and Life Sciences', 'Business Models and Collaboration', 'Health and Medical', 'Industry Categories', 'Interoperability', 'Other Categories', 'Security & Cybersecurity', 'Technical Categories']"
Global Standards Collaboration,6/24/2015(Last Updated: 06/24/2015),Active,"The goal of the Global Standards Collaboration (GSC) is to enhance co-operation between Participating Standards Organizations (PSOs) from different regions of the world in order to facilitate exchange of information on standards development, build synergies, and reduce duplication.",,http://www.itu.int/itu-t/ipr/ ,http://www.itu.int/en/itu-t/gsc/pages/default.aspx,"['Business Models and Collaboration', 'Industry Categories', 'Other Categories', 'Telecom']"
GreenTouch,6/24/2015(Last Updated: 06/24/2015),Active,"GreenTouch is a consortium of Information and Communications Technology (ICT) industry, academic, and non-governmental research experts working to significantly reduce the carbon footprint of ICT devices, platforms, and networks. The goal of GreenTouch is to achieve a 1000% improvement from 2010 levels in the future energy efficiency of the Internet and other networks that support communications, commerce, and entertainment.",,,https://s3-us-west-2.amazonaws.com/belllabs-microsite-greentouch/index.php@page=home.html,"['Clean Tech & Renewable Energy', 'Grid Computing', 'Industry Categories', 'Internet', 'Technical Categories']"
"HDMI Licensing, LLC",6/24/2015(Last Updated: 06/24/2015),Active,"HDMI Licensing, LLC is the agent responsible for licensing the HDMI specification, promoting the HDMI standard and providing education on the benefits of the HDMI specification to Adopters, retailers and consumers.",http://www.hdmi.org/manufacturer/specification.aspx ,,http://www.hdmi.org/?tag=mncol;txt,"['Architecture and Infrastructure', 'Audio/Video/Multimedia', 'Consumer Electronics and Content', 'Industry Categories', 'Technical Categories']"
Healthcare Information and Management Systems Society (HIMSS),6/24/2015(Last Updated: 06/24/2015),Active,"The Healthcare Information and Management Systems Society (HIMSS) is a not-for-profit organization dedicated to improving healthcare quality, safety, cost-effectiveness, and access. HIMSS is also home to the Electronic Health Records Association, and sponsors National Health IT Week.",,,http://www.himss.org/asp/index.asp,"['Health and Medical', 'Industry Categories', 'Information and Communication Technology', 'Interoperability', 'Network', 'Technical Categories']"
Home Gateway Initiative (HGI),6/24/2015(Last Updated: 06/24/2015),Inactive,"The Home Gateway Initiative (HGI) is nonprofit trade organization for discussing the key specifications and standards of residential gateways, also known as home gateways. HGI's aims include: release specifications of the home gateway; boost the market of home communication services to customers; and improve the interoperability of gateways with home devices. *Dissolved in 2016",http://www.homegateway.org/documents/current_hgi_publications.asp ,See section 4.8.http://www.homegateway.org/documents/docs/hgi_statutes_v1_12_final_clean.pdf ,http://www.homegateway.org/,"['Home Network', 'Industry Categories', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
Hypercat Alliance Limited,6/24/2015(Last Updated: 06/24/2015),Active,"The Hypercat Alliance Limited specification allows Internet of Things clients to discover what data an IoT server has available. It is built on Web standards that are now common for that interface, such as HTTPS, REST/HATEOAS and JSON.",https://webstore.ansi.org/preview-pages/bsi/preview_30350974.pdf ,,https://www.bsigroup.com/en-gb/industries-and-sectors/internet-of-things/,"['Business Models and Collaboration', 'Europe', 'Internet of Things', 'Other Categories', 'Select by Geography', 'Technical Categories']"
IDB Forum,9/23/2015(Last Updated: 09/23/2015),Inactive,"The IDB Forum promoted the global integration of ITS Data Bus networking into vehicles, consumer electronics, and automotive electronics. Activities included technology, standards, and market development as well as demonstration, training, and producing an interface to the Automotive Multimedia Interface Collaboration (AMI-C). *Inactive",,,,"['Automotive', 'Consumer Electronics and Content', 'Industry Categories', 'Interoperability', 'Network', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories', 'Wireless and Mobile']"
Immersive Technology Alliance (ITA),12/14/2016(Last Updated: 12/14/2016),Active,"The Immersive Technology Alliance promotes the viability, advancement and adoption of virtual reality, augmented reality, mixed reality, stereoscopic 3D, and related future innovations. The ITA facilitates collaborative problem solving and accelerated opportunity development. *Merged with International Future Computing Association (TIFCA) in 2018.",,,http://www.tifca.com/,"['Audio/Video/Multimedia', 'Consumer Electronics and Content', 'Industry Categories', 'Internet of Things', 'Technical Categories']"
Information Sharing and Analysis Organization (ISAO) Standards Organization,1/20/2016(Last Updated: 01/20/2016),Active,"The ISAO Standards Organization develops standards, guidelines and templates to improve the nation's cybersecurity posture by identifying standards for robust and effective information sharing related to cybersecurity risks/incidents and cybersecurity best practices.",,,http://www.lmi.org/en/news-publications/news/events-%281%29/isao-standards-organization#,"['Americas', 'De Jure Standards Development Organizations', 'Defense', 'Industry Categories', 'National', 'Security & Cybersecurity', 'Select by Geography', 'Technical Categories']"
Institute of Environmental Sciences and Technology (IEST),1/01/2019,Active,"The Institute of Environmental Sciences and Technology (IEST), founded in 1953, is a multidisciplinary society serving members and the industries they represent through education and the development of recommended practices and standards. Its members are involved in the environmental sciences specifically as they pertain to areas of contamination control in electronics manufacturing and pharmaceutical processes. Members are also involved in the design, testing, and evaluation of commercial and military equipment and promotion of product reliability issues associated with commercial and military systems. IEST goals include acting as a resource for the creation of technical education programs and promoting educational material related to technical professional development. IEST hosts or participates in conferences throughout the year.",http://www.iest.org/standardsrps/tabid/10407/default.aspx ,,http://www.iest.org/,"['BioIT and Life Sciences', 'Clean Tech & Renewable Energy', 'Educational Associations', 'Electronics', 'Industry Categories', 'Manufacturing', 'Multi-Industry', 'Natural and Environmental Sciences', 'Other Categories', 'Sustainability, Efficiency and Green Initiatives']"
InterForum,1/01/2019,Inactive,"InterForum worked to ensure that education, legislation, and technologies were in place to help British businesses profit from the digital   economy.  Members of InterForum included suppliers and users of information and communication technologies in the UK, along with   representation from Government departments. *Inactive",,,http://www.interforum.org/,"['Advocacy/Lobbying', 'De Jure Standards Development Organizations', 'e-Commerce', 'Europe', 'Industry Categories', 'Information and Communication Technology', 'National', 'Other Categories', 'Promotional & Trade Associations', 'Select by Geography', 'Technical Categories']"
International Color Consortium (ICC),7/01/2015(Last Updated: 07/01/2015),Active,"The International Color Consortium was established in 1993 for the purpose of creating, promoting and encouraging the standardization and evolution of an open, vendor-neutral, cross-platform color management system architecture and components. The outcome of this co-operation was the development of the ICC profile specification.",http://www.color.org/v4spec.xalter ,http://www.color.org/iso_icc_guidelines.pdf ,http://www.color.org/index.xalter,"['Architecture and Infrastructure', 'Audio/Video/Multimedia', 'Interoperability', 'Technical Categories']"
International Disk Drive Equipment and Materials Association (IDEMA),1/01/2019,Active,"The International Disk Drive Equipment and Materials Association (IDEMA) is a not-for-profit trade association focused on in the hard disk drive industry and its infrastructure. Founded in 1986, IDEMA provides its members with trade shows, technical conferences, symposia, education classes, networking events, and an international standards program.",http://www.idema.org/?page_id=416 ,,http://www.idema.org/,"['Hardware', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
International Imaging Industry Association (I3A),7/01/2015(Last Updated: 07/01/2015),Inactive,"The International Imaging Industry Association (I3A) was a common forum for the industrial imaging industry. It supervised standards for photography and digital imaging, such as JPEG 2000 and PTP as well as the Internet Imaging Protocol. *Merged with IEEE in 2012",,,http://www.i3a.org/,"['Imaging', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
International Packet Communications Consortium (IPCC),7/01/2015(Last Updated: 07/01/2015),Inactive,"The International Packet Communications Consortium (IPCC) developed the market for products, services, applications and solutions utilizing packet-based voice, data, and video communications technologies. *Merged with the VoIP Group",,,http://www.voipgroup.com/default.asp,"['Audio/Video/Multimedia', 'Industry Categories', 'Information and Communication Technology', 'Network', 'Technical Categories', 'Telecom']"
